trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9397940008672039, 'e': 0.7397940008672038}",25,9,-87.94310160935706,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 1}",1
2,False,"{'a': 0.9045757490560675, 'e': 0.7045757490560675}",25,2,-138.72567111041525,"{0: 12, 1: 3, 2: 4, 3: 3, 4: 1}",1
3,False,"{'a': 0.8795880017344075, 'e': 0.6795880017344075}",25,0,-47.4718053792372,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.8602059991327962, 'e': 0.6602059991327962}",25,2,-228.0520435513812,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 5}",1
5,False,"{'a': 0.8443697499232712, 'e': 0.6443697499232712}",20,0,-31.24918791935839,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.8309803919971486, 'e': 0.6309803919971486}",20,0,-80.51001863536968,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.8193820026016112, 'e': 0.6193820026016112}",25,9,-74.32009262098573,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 1}",1
8,False,"{'a': 0.809151498112135, 'e': 0.609151498112135}",25,0,-94.91450448839065,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.7999999999999998, 'e': 0.5999999999999999}",20,0,-25.30414060346225,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.7917214629683549, 'e': 0.5917214629683548}",20,0,-174.7660131717877,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 4}",0
11,False,"{'a': 0.7841637507904748, 'e': 0.5841637507904749}",20,0,-88.63468401690932,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
12,False,"{'a': 0.7772113295386325, 'e': 0.5772113295386325}",25,3,-221.3180924374779,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 5}",1
13,False,"{'a': 0.7707743928643522, 'e': 0.5707743928643523}",20,5,-41.801880856346905,"{0: 9, 1: 1, 2: 5, 3: 0, 4: 0}",1
14,False,"{'a': 0.7647817481888637, 'e': 0.5647817481888636}",25,5,-69.68612177406823,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",1
15,False,"{'a': 0.7591760034688149, 'e': 0.5591760034688149}",20,12,-38.57247928449889,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.7539102157243451, 'e': 0.5539102157243452}",20,10,-26.173687399373286,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
17,False,"{'a': 0.7489454989793387, 'e': 0.5489454989793388}",25,10,-36.11670074685273,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 0}",1
18,False,"{'a': 0.7442492798094342, 'e': 0.5442492798094342}",25,6,-108.93272476827366,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 2}",1
19,False,"{'a': 0.7397940008672037, 'e': 0.5397940008672036}",20,0,-105.84229629348036,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
