trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.919725334489605, 'e': 0.7197253344896051}",25,5,-174.67248317277242,"{0: 8, 1: 0, 2: 9, 3: 1, 4: 2}",1
2,False,"{'a': 0.8727676654080903, 'e': 0.6727676654080902}",25,0,-153.06548487194036,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
3,False,"{'a': 0.8394506689792101, 'e': 0.6394506689792101}",30,12,-64.95496908881445,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 2}",1
4,False,"{'a': 0.8136079988437284, 'e': 0.6136079988437284}",20,1,-57.008045655704535,"{0: 16, 1: 0, 2: 0, 3: 2, 4: 1}",1
5,False,"{'a': 0.7924929998976953, 'e': 0.5924929998976952}",25,13,-32.21313196901122,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
6,False,"{'a': 0.774640522662865, 'e': 0.5746405226628649}",20,13,14.56983019595653,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.7591760034688153, 'e': 0.5591760034688152}",30,20,21.1336084672692,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.7455353308161803, 'e': 0.5455353308161802}",20,5,-70.53610683151629,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",1
9,False,"{'a': 0.7333333333333336, 'e': 0.5333333333333335}",20,2,-0.8155426708992022,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
10,False,"{'a': 0.7222952839578067, 'e': 0.5222952839578068}",25,19,-0.5053897916686074,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.7122183343873003, 'e': 0.5122183343873002}",25,18,-8.368495635771083,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
12,False,"{'a': 0.7029484393848437, 'e': 0.5029484393848438}",20,6,-20.484396375677008,"{0: 12, 1: 0, 2: 0, 3: 2, 4: 0}",1
13,False,"{'a': 0.6943658571524702, 'e': 0.49436585715247017}",20,0,17.227522751942068,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.6863756642518186, 'e': 0.4863756642518186}",20,15,11.27509214878809,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.6789013379584203, 'e': 0.4789013379584204}",25,3,-22.291296747856027,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.6718802876324605, 'e': 0.47188028763246054}",30,15,-14.825095537336917,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
17,False,"{'a': 0.6652606653057853, 'e': 0.46526066530578536}",20,6,20.40756692305307,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.6589990397459126, 'e': 0.45899903974591255}",30,16,23.295539598915177,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.6530586678229386, 'e': 0.4530586678229386}",30,7,39.848785231482026,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.6474081880709551, 'e': 0.4474081880709551}",20,8,19.253101027715708,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.6420206184474119, 'e': 0.44202061844741186}",20,10,-17.847102797627535,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
22,False,"{'a': 0.6368725770619754, 'e': 0.4368725770619754}",20,5,-13.552369082342597,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
23,False,"{'a': 0.6319436688769052, 'e': 0.4319436688769052}",30,13,-9.52484783889382,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
24,False,"{'a': 0.6272159976874567, 'e': 0.42721599768745677}",20,14,-30.086315412519745,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
